host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,x,y,z,in_range,touch,pressure,reset
77011903989,1767.234,-8.6704,2.3043,5.0082,0.3225,0.3665,0.2724,1108.4348821240558,508.8198672465095,0.0,1,1.0,6816.0,0
77012013609,1767.246,-8.528,2.5639,4.1157,0.4276,0.6145,0.4459,1108.4348821240558,508.8198672465095,0.0,1,1.0,6816.0,0
77012131968,1767.257,-8.7541,3.2674,3.411,0.4007,0.6768,0.5168,1108.4348821240558,508.8198672465095,0.0,1,1.0,6816.0,0
77012246241,1767.268,-8.6501,3.3248,3.9446,0.3323,0.9126,0.5363,1100.5831998168917,494.68390936141,0.0,1,1.0,19423.0,0
77012360883,1767.28,-8.5735,3.0497,4.1109,0.3946,1.1313,0.6206,1095.3682764934767,483.7706569008926,0.0,1,1.0,22783.0,0
77012475128,1767.291,-8.6405,2.9563,3.9266,0.4704,1.3195,0.6756,1095.3682764934767,483.7706569008926,0.0,1,1.0,22783.0,0
77012585436,1767.3020000000001,-8.7817,2.7529,3.4062,0.5315,1.3781,0.65,1089.0400549324788,469.7079423208973,0.0,1,1.0,26655.0,0
77012701347,1767.314,-8.9779,2.3809,2.9539,0.5925,1.262,0.5376,1082.8290226596475,453.9606317235066,0.0,1,1.0,30527.0,0
77012813406,1767.325,-9.0903,2.0195,2.7625,0.6597,1.058,0.4166,1082.8290226596475,453.9606317235066,0.0,1,1.0,30527.0,0
77012931582,1767.336,-9.0844,1.7276,2.8977,0.7807,0.854,0.3384,1078.3172350652324,434.4962233920805,0.0,1,1.0,34692.0,0
77013045774,1767.348,-9.0628,2.7063,3.2279,1.069,0.7074,0.3018,1078.6688029297322,426.58594644083314,0.0,1,1.0,35782.0,0
77013154420,1767.359,-9.1549,3.3236,2.2122,1.0544,0.5412,0.1344,1078.6688029297322,426.58594644083314,0.0,1,1.0,35782.0,0
77013264343,1767.3700000000001,-9.0197,3.8716,1.1151,1.0043,0.2053,0.0,1083.1805905241474,422.4843213550012,0.0,1,1.0,36744.0,0
77013382533,1767.382,-8.8606,4.7557,0.451,0.8528,-0.248,-0.1576,1090.6221103227283,421.97161821927216,0.0,1,1.0,37641.0,0
77013493541,1767.393,-8.589,5.6387,0.5408,0.6182,-0.6011,-0.2847,1090.6221103227283,421.97161821927216,0.0,1,1.0,37641.0,0
77013605861,1767.404,-8.3749,6.4977,0.8483,0.2285,-0.7563,-0.3873,1104.3332570382238,431.12703135729,0.0,1,1.0,38475.0,0
77013722658,1767.416,-8.2816,6.7167,0.8841,-0.2786,-0.8051,-0.4447,1112.712291142138,439.47676813916223,0.0,1,1.0,38507.0,0
77013838878,1767.4270000000001,-8.3186,6.1795,0.9332,-0.7172,-0.8467,-0.4581,1115.6420233463036,443.1023117418173,0.0,1,1.0,38090.0,0
77013947371,1767.439,-9.0365,3.7759,2.2134,-0.9957,-0.9395,-0.3922,1117.5170519569697,446.2334630350194,0.0,1,1.0,36455.0,0
